"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CAP_0805","100.001mil","745mil","100.001mil","745mil","100.001mil","709.567mil","T","90.00","Cap"
"C2","CAP_0603","75.001mil","925mil","75.001mil","925mil","75.001mil","956.496mil","B","270.00","Cap"
"C3","CAP_0603","770mil","925mil","770mil","925mil","770mil","893.505mil","B","90.00","Cap"
"C4","CAP_0603","739.075mil","513.78mil","739.075mil","513.78mil","739.075mil","545.276mil","T","270.00","Cap"
"C5","CAP_0603","104.686mil","513.189mil","104.686mil","513.189mil","104.686mil","544.685mil","T","270.00","Cap"
"J1","Molex_0430450401","670mil","234.095mil","670mil","90.001mil","729mil","260.079mil","T","180.00","0430450401"
"J2","Molex_0430450401","195mil","239.095mil","195mil","95.001mil","254mil","265.079mil","T","180.00","0430450401"
"J3","Molex_0430450401","670mil","1205.906mil","670mil","1350.001mil","611mil","1179.922mil","T","0.00","0430450401"
"J4","Molex_0430450401","194mil","1205.906mil","194mil","1350.001mil","135mil","1179.922mil","T","0.00","0430450401"
"R1","RES_0603","770mil","515mil","770mil","515mil","770mil","547.481mil","B","270.00","Res1"
"R2","RES_0603","75.001mil","515mil","75.001mil","515mil","75.001mil","547.481mil","B","270.00","Res1"
"R3","RES_0603","740mil","925mil","740mil","925mil","740mil","892.52mil","T","90.00","Res1"
"R4","RES_0603","103.76mil","926.221mil","103.76mil","926.221mil","103.76mil","958.701mil","T","270.00","Res1"
"U1","ONSC-SOIC-20-751AQ-01_N","425mil","725mil","425mil","725mil","200mil","905.119mil","B","270.00","AMIS42770ICAW1G"
"U2","ONSC-SOIC-20-751AQ-01_N","425mil","725mil","425mil","725mil","200mil","544.882mil","T","90.00","AMIS42770ICAW1G"

